step_idx,symbol,timestamp_target,target,log_ret_1m,roll_ret_5m,roll_vol_15m,vwap_dev,vwap_z_30m,volume_z_30m,roll_vol_15m_volume,hl_spread,hl_range_15m,time_sin,time_cos,is_open30,is_close30
0,AAPL,2020-01-02 15:28:00,1.0,0.00083484076,0.0023671945,0.000635592,0.0036314607,1.0996537,0.42164376,526281.9,0.0015299027,0.004867872,0.45039815,0.8928278,1.0,0.0
1,AAPL,2020-01-02 15:28:00,1.0,-0.00013909173,0.0015312873,0.0006201047,0.0034037824,1.1312709,-0.14396593,532161.06,0.0011128113,0.0048685493,0.46472317,0.885456,0.0,0.0
2,AAPL,2020-01-02 15:28:00,1.0,0.0,0.00055656047,0.0006190592,0.0033325907,1.1782697,-0.45806146,541009.06,0.00055640563,0.0048685493,0.47892758,0.8778544,0.0,0.0
3,AAPL,2020-01-02 15:28:00,1.0,-0.0008349569,-0.0008349569,0.00065453444,0.0024400952,1.2582179,-0.27364066,550261.06,0.001392176,0.004872616,0.4930077,0.8700249,0.0,0.0
4,AAPL,2020-01-02 15:28:00,1.0,0.0004175656,0.00027835768,0.0006623769,0.0028211407,1.3378564,-1.0990589,542696.56,0.0008349569,0.004870582,0.50695986,0.86196965,0.0,0.0
5,AAPL,2020-01-02 15:28:00,1.0,0.0,-0.00055648305,0.0005963882,0.0027929458,1.4395566,-1.3305628,521018.12,0.0008349569,0.004870582,0.52078044,0.8536907,0.0,0.0
6,AAPL,2020-01-02 15:28:00,1.0,0.0012516517,0.0008342603,0.0006744814,0.003953206,1.626357,0.33799917,531677.06,0.0013898541,0.0045865183,0.53446585,0.8451901,0.0,0.0
7,AAPL,2020-01-02 15:28:00,1.0,0.0005557871,0.0013900475,0.00067435333,0.0044116206,1.7813829,0.27023602,553732.25,0.0006945409,0.0050006947,0.5480125,0.8364701,0.0,0.0
8,AAPL,2020-01-02 15:28:00,1.0,-0.0005557871,0.0016692173,0.00068945315,0.0037913106,1.8211643,-0.48408443,557036.0,0.0011118832,0.0052814456,0.5614169,0.82753307,0.0,0.0
9,AAPL,2020-01-02 15:28:00,1.0,0.00027793218,0.0015295838,0.0006847015,0.0040060533,1.8359759,-0.4536823,566055.2,0.0005557871,0.005279978,0.5746757,0.81838125,0.0,0.0
