node_id,left_child,right_child,feature,threshold,impurity,n_node_samples,weighted_n_node_samples,value,class
0,1,238,44,0.0024773121112957597,0.4998668662967425,29055684,29055684.0,"[0.49184114887813346, 0.5081588511218665]",1
1,2,121,29,7.296696276171133e-05,0.499864123119383,29020339,29020339.0,"[0.49175752219848295, 0.5082424778015171]",1
2,3,66,37,0.000742188683943823,0.4998667533380933,28916747,28916747.0,"[0.4918376883817533, 0.5081623116182467]",1
3,4,35,54,-0.0002266377123305574,0.49986490068080225,28853880,28853880.0,"[0.49178114000612744, 0.5082188599938726]",1
4,5,20,36,0.00293884240090847,0.4999955041525762,143733,143733.0,"[0.5014993077442201, 0.4985006922557798]",0
5,6,13,30,0.0024104620097205043,0.4999927349468999,143238,143238.0,"[0.5019059188204248, 0.49809408117957527]",0
6,7,10,1,0.0008300002082251012,0.49999673454591165,142043,142043.0,"[0.5012777820800743, 0.49872221791992566]",0
7,8,9,58,-0.002608823706395924,0.4999885560225721,138374,138374.0,"[0.5023920678740226, 0.4976079321259774]",0
8,-1,-1,-2,-2.0,0.48790123456790124,900,900.0,"[0.5777777777777777, 0.4222222222222222]",0
9,-1,-1,-2,-2.0,0.4999927910855476,137474,137474.0,"[0.5018985408149905, 0.49810145918500953]",0
10,11,12,61,-0.002019273117184639,0.4966793969882096,3669,3669.0,"[0.45925320250749524, 0.5407467974925048]",1
11,-1,-1,-2,-2.0,0.461680870758722,354,354.0,"[0.3615819209039548, 0.6384180790960452]",1
12,-1,-1,-2,-2.0,0.4981617902991339,3315,3315.0,"[0.46968325791855203, 0.530316742081448]",1
13,14,17,37,-0.0009041696903295815,0.4882743649445913,1195,1195.0,"[0.5765690376569038, 0.42343096234309624]",0
14,15,16,26,-0.012587684206664562,0.4318546781259234,279,279.0,"[0.6845878136200717, 0.3154121863799283]",0
15,-1,-1,-2,-2.0,0.375,16,16.0,"[0.25, 0.75]",1
16,-1,-1,-2,-2.0,0.41093553470485333,263,263.0,"[0.7110266159695817, 0.2889733840304182]",0
17,18,19,4,0.0012062335736118257,0.496186190194695,916,916.0,"[0.5436681222707423, 0.45633187772925765]",0
18,-1,-1,-2,-2.0,0.49776769968538737,883,883.0,"[0.5334088335220838, 0.4665911664779162]",0
19,-1,-1,-2,-2.0,0.2975206611570248,33,33.0,"[0.8181818181818182, 0.18181818181818182]",0
20,21,28,49,-0.001681910827755928,0.4730129578614427,495,495.0,"[0.3838383838383838, 0.6161616161616161]",1
21,22,25,26,-0.018708625808358192,0.4955803930162904,234,234.0,"[0.452991452991453, 0.5470085470085471]",1
22,23,24,16,-0.008900756016373634,0.20414201183431957,26,26.0,"[0.11538461538461539, 0.8846153846153846]",1
23,-1,-1,-2,-2.0,0.0,1,1.0,"[1.0, 0.0]",0
24,-1,-1,-2,-2.0,0.1472,25,25.0,"[0.08, 0.92]",1
25,26,27,28,7.552290117018856e-05,0.4999537721893491,208,208.0,"[0.4951923076923077, 0.5048076923076923]",1
26,-1,-1,-2,-2.0,0.488990634755463,155,155.0,"[0.4258064516129032, 0.5741935483870968]",1
27,-1,-1,-2,-2.0,0.421502313990744,53,53.0,"[0.6981132075471698, 0.3018867924528302]",0
28,29,32,6,0.0011947265593335032,0.43651737349715947,261,261.0,"[0.3218390804597701, 0.6781609195402298]",1
29,30,31,13,-0.005943079944700003,0.47902453186238936,166,166.0,"[0.39759036144578314, 0.6024096385542169]",1
30,-1,-1,-2,-2.0,0.0,8,8.0,"[1.0, 0.0]",0
31,-1,-1,-2,-2.0,0.4646691235378946,158,158.0,"[0.3670886075949367, 0.6329113924050633]",1
32,33,34,13,-0.0013296935940161347,0.30714681440443214,95,95.0,"[0.18947368421052632, 0.8105263157894737]",1
